event_id,source,site_id,location_name,lat,lon,coord_precision_km,coord_source,datetime_utc,time_precision,species,common_name,taxon_group,ecotype,call_type,n_detections,source_ref
24851,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-18T00:55:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,2,Casey2014.Bm.Ant-A.selections.txt
24852,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-18T00:56:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Casey2014.Bm.Ant-A.selections.txt
24853,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-18T00:57:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Casey2014.Bm.Ant-A.selections.txt
24854,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-18T00:58:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,2,Casey2014.Bm.Ant-A.selections.txt
24855,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-18T00:59:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Casey2014.Bm.Ant-A.selections.txt
24856,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-18T00:59:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-B,1,Casey2014.Bm.Ant-B.selections.txt
24857,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-19T15:25:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Casey2014.Bm.Ant-A.selections.txt
24858,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:00:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Casey2014.Bm.Ant-A.selections.txt
24859,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:00:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-B,1,Casey2014.Bm.Ant-B.selections.txt
24860,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:01:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Casey2014.Bm.Ant-A.selections.txt
24861,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:01:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-B,1,Casey2014.Bm.Ant-B.selections.txt
24862,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:02:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Casey2014.Bm.Ant-A.selections.txt
24863,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:03:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,2,Casey2014.Bm.Ant-A.selections.txt
24864,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:03:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-B,1,Casey2014.Bm.Ant-B.selections.txt
24865,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:03:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-Z,1,Casey2014.Bm.Ant-Z.selections.txt
24866,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:04:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Casey2014.Bm.Ant-A.selections.txt
24867,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:05:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,3,Casey2014.Bm.Ant-A.selections.txt
24868,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:06:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,2,Casey2014.Bm.Ant-A.selections.txt
24869,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:06:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-B,2,Casey2014.Bm.Ant-B.selections.txt
24870,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:06:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-Z,1,Casey2014.Bm.Ant-Z.selections.txt
24871,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:07:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Casey2014.Bm.Ant-A.selections.txt
