site_id,source,provider,name,lat,lon,coord_precision_km
"watkins:39.0,-71.0",watkins,WHOI Watkins,,39.0,-71.0,60.0
"watkins:39.0,-72.0",watkins,WHOI Watkins,,39.0,-72.0,60.0
"watkins:39.75,-70.833",watkins,WHOI Watkins,"Western North Atlantic, between Block Canyon and Atlantis Canyon",39.75,-70.8333,2.0
"watkins:39.79,-72.138",watkins,WHOI Watkins,N of Hudson Canyon,39.79,-72.1383,2.0
"watkins:40.0,-65.0",watkins,WHOI Watkins,,40.0,-65.0,60.0
"watkins:40.0,-70.0",watkins,WHOI Watkins,E of Stellwagen Bank,40.0,-70.0,60.0
"watkins:40.0,-71.0",watkins,WHOI Watkins,,40.0,-71.0,60.0
"watkins:40.0,8.0",watkins,WHOI Watkins,"Near Capo Caccia, Sardinia",40.0,8.0,60.0
"watkins:41.0,-66.0",watkins,WHOI Watkins,W of Browns Bank,41.0,-66.0,60.0
"watkins:41.0,-70.0",watkins,WHOI Watkins,"Menemsha Bight, Vineyard Sound, MA",41.0,-70.0,60.0
"watkins:41.0,-71.0",watkins,WHOI Watkins,"Cape Cod Bay, MA",41.0,-71.0,60.0
"watkins:41.525,-69.513",watkins,WHOI Watkins,Georges Bank,41.525,-69.5133,2.0
"watkins:41.642,-69.192",watkins,WHOI Watkins,Georges Bank,41.6417,-69.1917,2.0
"watkins:41.7,-69.8",watkins,WHOI Watkins,"Nauset Buoy, MA",41.7,-69.8,2.0
"watkins:42.0,-61.0",watkins,WHOI Watkins,Western North Atlantic,42.0,-61.0,60.0
"watkins:42.0,-65.0",watkins,WHOI Watkins,"Off Baccaro Bank, N.S.",42.0,-65.0,60.0
"watkins:42.0,-67.0",watkins,WHOI Watkins,North Atlantic,42.0,-67.0,60.0
"watkins:42.0,-70.0",watkins,WHOI Watkins,"Cape Cod Bay, MA",42.0,-70.0,60.0
"watkins:42.0,-71.0",watkins,WHOI Watkins,"Vineyard Sound, Ma.",42.0,-71.0,60.0
"watkins:42.217,-70.038",watkins,WHOI Watkins,Georges Bank,42.2167,-70.0383,2.0
"watkins:42.217,-70.08",watkins,WHOI Watkins,Georges Bank,42.2167,-70.08,2.0
"watkins:42.233,-70.033",watkins,WHOI Watkins,Stellwagen Bank,42.2333,-70.0333,2.0
"watkins:42.233,-70.217",watkins,WHOI Watkins,"Georges Bank, MA",42.2333,-70.2167,2.0
"watkins:42.243,-70.075",watkins,WHOI Watkins,Georges Bank,42.2433,-70.075,2.0
"watkins:42.252,-70.095",watkins,WHOI Watkins,Georges Bank,42.2517,-70.095,2.0
"watkins:42.253,-70.1",watkins,WHOI Watkins,Georges Bank,42.2533,-70.1,2.0
"watkins:42.257,-69.992",watkins,WHOI Watkins,Georges Bank,42.2567,-69.9917,2.0
"watkins:42.283,-70.083",watkins,WHOI Watkins,Georges Bank,42.2833,-70.0833,2.0
"watkins:42.292,-70.042",watkins,WHOI Watkins,Georges Bank,42.2917,-70.0417,2.0
"watkins:42.292,-70.238",watkins,WHOI Watkins,Stellwagen Bank,42.2917,-70.2383,2.0
"watkins:42.3,-67.917",watkins,WHOI Watkins,SE of Browns Bank,42.3,-67.9167,2.0
"watkins:42.303,-70.103",watkins,WHOI Watkins,Georges Bank,42.3033,-70.1033,2.0
"watkins:42.322,-70.09",watkins,WHOI Watkins,Georges Bank,42.3217,-70.09,2.0
"watkins:42.333,-67.833",watkins,WHOI Watkins,"Northern edge of Georges Bank, western North Atlantic",42.3333,-67.8333,2.0
"watkins:42.348,-70.073",watkins,WHOI Watkins,Georges Bank,42.3483,-70.0733,2.0
"watkins:42.36,-70.325",watkins,WHOI Watkins,N end of Stellwagen Bank,42.36,-70.325,2.0
"watkins:42.633,-61.85",watkins,WHOI Watkins,"Sable Island, Nova Scotia",42.6333,-61.85,2.0
"watkins:42.65,-61.867",watkins,WHOI Watkins,"South of Sable Island, North Atlantic",42.65,-61.8667,2.0
"watkins:43.0,-123.0",watkins,WHOI Watkins,"Vancouver, British Columbia",43.0,-123.0,60.0
"watkins:43.0,-58.0",watkins,WHOI Watkins,"Gully, SE Sable I., Canada",43.0,-58.0,60.0
"watkins:43.0,-59.0",watkins,WHOI Watkins,"Gully, SE Sable I., Canada  BD",43.0,-59.0,60.0
"watkins:43.0,-62.0",watkins,WHOI Watkins,W of Browns Bank,43.0,-62.0,60.0
"watkins:43.0,-65.0",watkins,WHOI Watkins,S of Nova Scotia,43.0,-65.0,60.0
"watkins:43.0,-70.0",watkins,WHOI Watkins,"Cape Porpoise, Maine",43.0,-70.0,60.0
"watkins:43.0,10.0",watkins,WHOI Watkins,"Near Capraia, Italy",43.0,10.0,60.0
"watkins:43.0,8.0",watkins,WHOI Watkins,"Near San Remo, Italy",43.0,8.0,60.0
"watkins:43.017,-70.167",watkins,WHOI Watkins,Gulf of Maine,43.0167,-70.1667,2.0
"watkins:44.0,-64.0",watkins,WHOI Watkins,"Halifax, Nova Scotia",44.0,-64.0,60.0
"watkins:44.0,15.0",watkins,WHOI Watkins,"Near Losinij, Yugoslavia",44.0,15.0,60.0
"watkins:45.0,-66.0",watkins,WHOI Watkins,"Bay of Fundy, near Wolves Is.",45.0,-66.0,60.0
"watkins:45.0,-67.0",watkins,WHOI Watkins,"NW tip of Deer Island, New Brunswick, Canada",45.0,-67.0,60.0
"watkins:47.0,-62.0",watkins,WHOI Watkins,"St. Lawrence River, Canada",47.0,-62.0,60.0
"watkins:47.0,-70.0",watkins,WHOI Watkins,"Ile aux Coudres, PQ, Canada",47.0,-70.0,60.0
"watkins:47.417,-70.417",watkins,WHOI Watkins,"Ile aux Coudres, PQ, Canada",47.4167,-70.4167,2.0
"watkins:47.533,-53.533",watkins,WHOI Watkins,"Dildo Arm, Trinity Bay, Newfoundland, Canada",47.5333,-53.5333,2.0
"watkins:48.0,-123.0",watkins,WHOI Watkins,"Saanich Inlet, Victoria, Vancouver Island, British Columbia, Canada",48.0,-123.0,60.0
"watkins:48.0,-53.0",watkins,WHOI Watkins,"Trinity Bay, Newfoundland",48.0,-53.0,60.0
"watkins:48.0,-69.0",watkins,WHOI Watkins,"Baie Ste. Catherine, Canada",48.0,-69.0,60.0
"watkins:48.0,-70.0",watkins,WHOI Watkins,"Baie Ste. Catherine, CanadaX ;  Saguenay River, Canada",48.0,-70.0,60.0
"watkins:49.0,-123.0",watkins,WHOI Watkins,"Vancouver, British Columbia",49.0,-123.0,60.0
"watkins:49.0,-67.0",watkins,WHOI Watkins,,49.0,-67.0,60.0
"watkins:60.0,-148.0",watkins,WHOI Watkins,"Three to four miles N. of Crafton Is., Prince William Sound, Alaska",60.0,-148.0,60.0
"watkins:60.533,-147.958",watkins,WHOI Watkins,"1 mi. N of Crafton Island, Alaska",60.5333,-147.9583,2.0
"watkins:66.0,-169.0",watkins,WHOI Watkins,Bering Strait,66.0,-169.0,60.0
"watkins:68.0,16.0",watkins,WHOI Watkins,"Kikvika, Norway",68.0,16.0,60.0
"watkins:69.0,-16.0",watkins,WHOI Watkins,"Andenes, Norway",69.0,-16.0,60.0
"watkins:70.0,-78.0",watkins,WHOI Watkins,"Koluktoo Bay, N. Baffin Island",70.0,-78.0,60.0
"watkins:71.0,-157.0",watkins,WHOI Watkins,"Barrow, Alaska",71.0,-157.0,60.0
